opus,book,word_count
Lord of the Rings,The Fellowship of the Ring,187790
Lord of the Rings,The Two Towers,156198
Lord of the Rings,The Return of the King,137115
The Chronicles Of Narnia,"The Lion, the Witch and the Wardrobe",38421
The Chronicles Of Narnia,Prince Caspian,46290
The Chronicles Of Narnia,The Voyage of the Dawn Treader,53960
The Chronicles Of Narnia,The Silver Chair,51022
The Chronicles Of Narnia,The Horse and His Boy,48029
The Chronicles Of Narnia,The Magician's Nephew,64480
The Chronicles Of Narnia,The Last Battle,43333
