town,month,average_rainfall_mm,average_rainfall_days
Orléans,Jan,41,15.7
Orléans,Feb,34,12.6
Orléans,Mar,35,13.3
Orléans,Apr,30,13.5
Orléans,May,48,17
Orléans,Jun,51,15.1
Orléans,Jul,38,15.2
Orléans,Aug,30,12.6
Orléans,Sep,21,10.5
Orléans,Oct,38,13.3
Orléans,Nov,50,14.3
Orléans,Dec,48,15.4
Weston-super-Mare,Jan,35,16.1
Weston-super-Mare,Feb,36,12.1
Weston-super-Mare,Mar,28,13.8
Weston-super-Mare,Apr,25,12.3
Weston-super-Mare,May,25,13.2
Weston-super-Mare,Jun,33,13.5
Weston-super-Mare,Jul,29,15.3
Weston-super-Mare,Aug,43,15.3
Weston-super-Mare,Sep,26,11.5
Weston-super-Mare,Oct,40,14.5
Weston-super-Mare,Nov,51,17.7
Weston-super-Mare,Dec,53,15.1
