"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Female","2005","UNESCO_UIS Database_Sep2007","Number","1541255",""
"Afghanistan","Female","2004","UNESCO_UIS Database_Sep2007","Number","1290341",""
"Afghanistan","Female","2003","UNESCO_UIS Database_Sep2007","Number","1314468",""
"Afghanistan","Female","2002","UNESCO_UIS Database_Sep2007","Number","805074",""
"Afghanistan","Female","2001","UNESCO_UIS Database_Sep2007","Number","-","1"
"Afghanistan","Female","2000","UNESCO_UIS Database_Sep2007","Number","-","1"
"Afghanistan","Female","1999","UNESCO_UIS Database_Sep2007","Number","64110",""
"Afghanistan","Male","2005","UNESCO_UIS Database_Sep2007","Number","2777564",""
"Afghanistan","Male","2004","UNESCO_UIS Database_Sep2007","Number","3139801",""
"Afghanistan","Male","2003","UNESCO_UIS Database_Sep2007","Number","2466547",""
"Afghanistan","Male","2002","UNESCO_UIS Database_Sep2007","Number","1862555",""
"Afghanistan","Male","2001","UNESCO_UIS Database_Sep2007","Number","773623","2"
"Afghanistan","Male","2000","UNESCO_UIS Database_Sep2007","Number","749360","2"
"Afghanistan","Male","1999","UNESCO_UIS Database_Sep2007","Number","893293",""
"Albania","Female","2004","UNESCO_UIS Database_Sep2007","Number","120767",""
"Albania","Female","2003","UNESCO_UIS Database_Sep2007","Number","121614",""
"Albania","Female","2002","UNESCO_UIS Database_Sep2007","Number","126051",""
"Albania","Female","2001","UNESCO_UIS Database_Sep2007","Number","133222",""
"Albania","Female","2000","UNESCO_UIS Database_Sep2007","Number","136723",""
"Albania","Female","1999","UNESCO_UIS Database_Sep2007","Number","140610",""
"Albania","Male","2004","UNESCO_UIS Database_Sep2007","Number","129720",""
"Albania","Male","2003","UNESCO_UIS Database_Sep2007","Number","131215",""
"Albania","Male","2002","UNESCO_UIS Database_Sep2007","Number","137552",""
"Albania","Male","2001","UNESCO_UIS Database_Sep2007","Number","141011",""
"Albania","Male","2000","UNESCO_UIS Database_Sep2007","Number","146526",""
"Albania","Male","1999","UNESCO_UIS Database_Sep2007","Number","151460",""
"Algeria","Female","2005","UNESCO_UIS Database_Sep2007","Number","2049927",""
"Algeria","Female","2004","UNESCO_UIS Database_Sep2007","Number","2119454",""
"Algeria","Female","2003","UNESCO_UIS Database_Sep2007","Number","2166045",""
"Algeria","Female","2002","UNESCO_UIS Database_Sep2007","Number","2204374",""
"Algeria","Female","2001","UNESCO_UIS Database_Sep2007","Number","2210114",""
"Algeria","Female","2000","UNESCO_UIS Database_Sep2007","Number","2264608",""
"Algeria","Female","1999","UNESCO_UIS Database_Sep2007","Number","2229152",""
"Algeria","Male","2005","UNESCO_UIS Database_Sep2007","Number","2311817",""
"Algeria","Male","2004","UNESCO_UIS Database_Sep2007","Number","2388249",""
"Algeria","Male","2003","UNESCO_UIS Database_Sep2007","Number","2446529",""
"Algeria","Male","2002","UNESCO_UIS Database_Sep2007","Number","2487496",""
"Algeria","Male","2001","UNESCO_UIS Database_Sep2007","Number","2510836",""
"Algeria","Male","2000","UNESCO_UIS Database_Sep2007","Number","2578705",""
"Algeria","Male","1999","UNESCO_UIS Database_Sep2007","Number","2549718",""
"Andorra","Female","2005","UNESCO_UIS Database_Sep2007","Number","1914",""
"Andorra","Female","2004","UNESCO_UIS Database_Sep2007","Number","2007",""
"Andorra","Female","2003","UNESCO_UIS Database_Sep2007","Number","1954",""
"Andorra","Female","2002","UNESCO_UIS Database_Sep2007","Number","1948",""
"Andorra","Male","2005","UNESCO_UIS Database_Sep2007","Number","2171",""
"Andorra","Male","2004","UNESCO_UIS Database_Sep2007","Number","2257",""
"Andorra","Male","2003","UNESCO_UIS Database_Sep2007","Number","2188",""
"Andorra","Male","2002","UNESCO_UIS Database_Sep2007","Number","2160",""
"Angola","Female","1999","UNESCO_UIS Database_Sep2007","Number","490755","3"
"Angola","Male","1999","UNESCO_UIS Database_Sep2007","Number","566433",""
"Anguilla","Female","2005","UNESCO_UIS Database_Sep2007","Number","736",""
"Anguilla","Female","2004","UNESCO_UIS Database_Sep2007","Number","717",""
"Anguilla","Female","2003","UNESCO_UIS Database_Sep2007","Number","719",""
"Anguilla","Female","2002","UNESCO_UIS Database_Sep2007","Number","699",""
"Anguilla","Female","2001","UNESCO_UIS Database_Sep2007","Number","728",""
"Anguilla","Female","2000","UNESCO_UIS Database_Sep2007","Number","774",""
"Anguilla","Female","1999","UNESCO_UIS Database_Sep2007","Number","788",""
"Anguilla","Male","2005","UNESCO_UIS Database_Sep2007","Number","713",""
"Anguilla","Male","2004","UNESCO_UIS Database_Sep2007","Number","716",""
"Anguilla","Male","2003","UNESCO_UIS Database_Sep2007","Number","728",""
"Anguilla","Male","2002","UNESCO_UIS Database_Sep2007","Number","728",""
"Anguilla","Male","2001","UNESCO_UIS Database_Sep2007","Number","761",""
"Anguilla","Male","2000","UNESCO_UIS Database_Sep2007","Number","765",""
"Anguilla","Male","1999","UNESCO_UIS Database_Sep2007","Number","781",""
"Antigua and Barbuda","Female","2000","UNESCO_UIS Database_Sep2007","Number","8079",""
"Antigua and Barbuda","Male","2000","UNESCO_UIS Database_Sep2007","Number","4946",""
"Argentina","Female","2004","UNESCO_UIS Database_Sep2007","Number","2294732",""
"Argentina","Female","2003","UNESCO_UIS Database_Sep2007","Number","2290620",""
"Argentina","Female","2002","UNESCO_UIS Database_Sep2007","Number","2415579",""
"Argentina","Female","2001","UNESCO_UIS Database_Sep2007","Number","2406956",""
"Argentina","Female","2000","UNESCO_UIS Database_Sep2007","Number","2404380",""
"Argentina","Female","1999","UNESCO_UIS Database_Sep2007","Number","2373931",""
"Argentina","Male","2004","UNESCO_UIS Database_Sep2007","Number","2390800",""
