"Country or Area","Year","Area","Type of housing unit","City","Availability of ICT","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Albania","2011","Total","Total","Durrës","All households","Census - de jure - complete tabulation","Final figure, complete","2013","30899",""
"Albania","2011","Total","Total","Durrës","Households having television set","Census - de jure - complete tabulation","Final figure, complete","2013","28397",""
"Albania","2011","Total","Total","Durrës","Households having fixed line telephone","Census - de jure - complete tabulation","Final figure, complete","2013","11996",""
"Albania","2011","Total","Total","Durrës","Households having mobile cellular telephone","Census - de jure - complete tabulation","Final figure, complete","2013","26645",""
"Albania","2011","Total","Total","Durrës","Households having personal computer","Census - de jure - complete tabulation","Final figure, complete","2013","8245",""
"Albania","2011","Total","Total","Durrës","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2013","5375",""
"Albania","2011","Total","Total","TIRANA","All households","Census - de jure - complete tabulation","Final figure, complete","2013","117870",""
"Albania","2011","Total","Total","TIRANA","Households having television set","Census - de jure - complete tabulation","Final figure, complete","2013","109661",""
"Albania","2011","Total","Total","TIRANA","Households having fixed line telephone","Census - de jure - complete tabulation","Final figure, complete","2013","62869",""
"Albania","2011","Total","Total","TIRANA","Households having mobile cellular telephone","Census - de jure - complete tabulation","Final figure, complete","2013","104454",""
"Albania","2011","Total","Total","TIRANA","Households having personal computer","Census - de jure - complete tabulation","Final figure, complete","2013","53549",""
"Albania","2011","Total","Total","TIRANA","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2013","36441",""
"Argentina","2010","Total","Total","BUENOS AIRES","All households","Census - de facto - complete tabulation","Final figure, complete","2015","1150134",""
"Argentina","2010","Total","Total","BUENOS AIRES","Households having personal computer","Census - de facto - complete tabulation","Final figure, complete","2015","789145",""
"Argentina","2010","Total","Total","Córdoba","All households","Census - de facto - complete tabulation","Final figure, complete","2015","414237",""
"Argentina","2010","Total","Total","Córdoba","Households having personal computer","Census - de facto - complete tabulation","Final figure, complete","2015","232024",""
