"Country or Area","Year","Item","Value"
"Afghanistan","2012","Gross Domestic Product (GDP)","614.109574005588"
"Albania","2012","Gross Domestic Product (GDP)","4227.65056616574"
"Algeria","2012","Gross Domestic Product (GDP)","5592.22315165354"
"Andorra","2012","Gross Domestic Product (GDP)","38686.7207841207"
"Angola","2012","Gross Domestic Product (GDP)","5100.09818959729"
"Anguilla","2012","Gross Domestic Product (GDP)","20305.2755829407"
"Antigua and Barbuda","2012","Gross Domestic Product (GDP)","13272.4413293826"
"Argentina","2012","Gross Domestic Product (GDP)","13924.7557212443"
"Armenia","2012","Gross Domestic Product (GDP)","3681.85129667312"
"Aruba","2012","Gross Domestic Product (GDP)","25864.3477152494"
"Australia","2012","Gross Domestic Product (GDP)","69451.2386704101"
"Austria","2012","Gross Domestic Product (GDP)","48155.0579813104"
"Azerbaijan","2012","Gross Domestic Product (GDP)","7521.01780716608"
"Bahamas","2012","Gross Domestic Product (GDP)","29485.6209294138"
"Bahrain","2012","Gross Domestic Product (GDP)","23654.351675591"
"Bangladesh","2012","Gross Domestic Product (GDP)","853.605357842157"
"Barbados","2012","Gross Domestic Product (GDP)","16249.854600442"
"Belarus","2012","Gross Domestic Product (GDP)","6975.21374837142"
"Belgium","2012","Gross Domestic Product (GDP)","44760.0573890622"
"Belize","2012","Gross Domestic Product (GDP)","4505.62068047337"
"Benin","2012","Gross Domestic Product (GDP)","939.596762178182"
"Bermuda","2012","Gross Domestic Product (GDP)","98524.6086936373"
"Bhutan","2012","Gross Domestic Product (GDP)","2599.40068333366"
"Bolivia (Plurinational State of)","2012","Gross Domestic Product (GDP)","2609.88081367382"
"Bosnia and Herzegovina","2012","Gross Domestic Product (GDP)","4778.60473362931"
"Botswana","2012","Gross Domestic Product (GDP)","7070.32059126564"
"Brazil","2012","Gross Domestic Product (GDP)","12370.2228201839"
"British Virgin Islands","2012","Gross Domestic Product (GDP)","35615.2555671902"
"Brunei Darussalam","2012","Gross Domestic Product (GDP)","47741.77505759"
"Bulgaria","2012","Gross Domestic Product (GDP)","7364.60337664245"
"Burkina Faso","2012","Gross Domestic Product (GDP)","758.043682356515"
"Burundi","2012","Gross Domestic Product (GDP)","251.720169826907"
"Cabo Verde","2012","Gross Domestic Product (GDP)","3467.47125359461"
"Cambodia","2012","Gross Domestic Product (GDP)","950.880857993691"
"Cameroon","2012","Gross Domestic Product (GDP)","1354.62305483868"
"Canada","2012","Gross Domestic Product (GDP)","52364.8060006705"
"Cayman Islands","2012","Gross Domestic Product (GDP)","74493.7741534724"
"Central African Republic","2012","Gross Domestic Product (GDP)","565.832891054086"
"Chad","2012","Gross Domestic Product (GDP)","1095.35496273448"
"Chile","2012","Gross Domestic Product (GDP)","15351.5107809177"
"China, Hong Kong SAR","2012","Gross Domestic Product (GDP)","37268.9856750447"
"China, Macao Special Administrative Region","2012","Gross Domestic Product (GDP)","76292.1960131778"
"China, People's Republic of","2012","Gross Domestic Product (GDP)","6163.95527915991"
"Colombia","2012","Gross Domestic Product (GDP)","8050.25584066998"
"Comoros","2012","Gross Domestic Product (GDP)","1403.42754144482"
"Congo","2012","Gross Domestic Product (GDP)","3923.09149307029"
"Cook Islands","2012","Gross Domestic Product (GDP)","16622.1208987868"
"Costa Rica","2012","Gross Domestic Product (GDP)","9913.21070792388"
"Côte d'Ivoire","2012","Gross Domestic Product (GDP)","1461.62137137244"
"Croatia","2012","Gross Domestic Product (GDP)","13150.8663185389"
"Cuba","2012","Gross Domestic Product (GDP)","6497.31938161005"
"Curaçao","2012","Gross Domestic Product (GDP)","20224.4952348318"
